Qty;Value;Device;Package;Parts;Description;PARTNO;POPULARITY;SPICEPREFIX
2;;LEDCHIP-LED0805;CHIP-LED0805;LED1, LED2;LED;EAST2012GA0;68;
2;;PINHD-1X3;1X03;JP2, JP3;PIN HEADER;PPPC031LFBN-RC;92;
1;;PINHD-2X6/90;2X06/90;JP1;PIN HEADER;PPPC062LJBN-RC;1;
1;100nF;C-USC0805;C0805;C1;CAPACITOR, American symbol;GCM21BR72A104KA37L;63;C
2;100Ω;R-EU_R0805;R0805;R5, R8;RESISTOR, European symbol;RC0805FR-07100RL;86;R
2;10k;R-US_R0805;R0805;R1, R2;RESISTOR, American symbol;RC0805FR-0710KL;85;R
1;10uF;C-USC0805;C0805;C2;CAPACITOR, American symbol;EDK106M035A9BAA;63;C
2;3.3kΩ;R-EU_R0805;R0805;R4, R7;RESISTOR, European symbol;RC0402FR-073K3L;86;R
1;50Ω;R-EU_R0805;R0805;R6;RESISTOR, European symbol;RT0805FRE0751RL;86;R
1;5kΩ;TRIM_EU-CT6;CT6;R3;POTENTIOMETER;CT-6EP502;1;
1;LIS3DHTR;LIS3DHTR;LGA-16-3X3;U1;;LIS3DHTR;;
1;SENSOR_TEMPERATURA;SENSOR_TEMPERATURA;1X02;U3;;NTCLE305E4103SB;;
1;TCRT5000L;TCRT5000L;PCBMOUNT;U2;TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor;TCRT5000L;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
